#AltAGL, AltB, AltGPS, AltMSL, AltMSL Lag Diff, amp1, amp2, AOASimple, BaroA, CAS, COM1, COM2, Coordination Index, CRS, DensityRatio, E1 CHT Divergence, E1 CHT1, E1 CHT2, E1 CHT3, E1 CHT4, E1 EGT Divergence, E1 EGT1, E1 EGT2, E1 EGT3, E1 EGT4, E1 FFlow, E1 OilP, E1 OilT, E1 RPM, FQtyL, FQtyR, GndSpd, HAL, HCDI, HDG, HPLfd, HPLwas, IAS, LatAc, LOC-I Index, MagVar, NormAc, OAT, Pitch, Roll, Stall Index, TAS, Total Fuel, TRK, True Airspeed(ft/min), VAL, VCDI, volt1, volt2, VPLwas, VSpd, VSpd Calculated, VSpdG, WndDr, WndSpd, number_events = 0
AltAGL, AltB, AltGPS, AltMSL, AltMSL Lag Diff, amp1, amp2, AOASimple, BaroA, CAS, COM1, COM2, Coordination Index, CRS, DensityRatio, E1 CHT Divergence, E1 CHT1, E1 CHT2, E1 CHT3, E1 CHT4, E1 EGT Divergence, E1 EGT1, E1 EGT2, E1 EGT3, E1 EGT4, E1 FFlow, E1 OilP, E1 OilT, E1 RPM, FQtyL, FQtyR, GndSpd, HAL, HCDI, HDG, HPLfd, HPLwas, IAS, LatAc, LOC-I Index, MagVar, NormAc, OAT, Pitch, Roll, Stall Index, TAS, Total Fuel, TRK, True Airspeed(ft/min), VAL, VCDI, volt1, volt2, VPLwas, VSpd, VSpd Calculated, VSpdG, WndDr, WndSpd
0.0, 844.3, 744.7, 832.5, 1.1000000000000227, 6.0, 0.5, 1.448675445856078, 30.29, 20.667, 132.3, 123.3, 5.198427045980446, 176.9, 1.0309812493854424, 20.669999999999987, 171.69, 151.65, 165.93, 172.32, 48.91000000000008, 1018.42, 1049.9, 1000.99, 1041.56, 2.2, 60.98, 133.12, 1111.8, 21.49, 24.0, 0.0, 3704.0, NaN, 180.0, 92.5, NaN, 0.0, -0.01, 0.00502055574572401, 3.2, 0.01, 9.8, 2.27, 0.37, 0.09657836305707185, 0.0, 45.489999999999995, 266.8, 2061.192582363556, NaN, NaN, 28.0, 28.1, NaN, 0.05, 30.0, 0.0, NaN, NaN
0.0, 845.3, 748.7, 836.5, 7.2000000000000455, 5.9, 0.5, 1.408675445856078, 30.29, 20.667, 132.3, 123.3, 5.760410034473471, 176.9, 1.0309812493854424, 20.73999999999998, 172.32, 152.05, 166.41, 172.79, 47.57999999999993, 1019.73, 1051.3, 1003.72, 1043.52, 2.29, 61.21, 133.07, 1117.5, 21.49, 24.0, 0.0, 3704.0, NaN, 180.0, 85.0, NaN, 0.0, -0.01, 0.0054096987824171616, 3.2, -0.02, 9.8, 2.23, 0.41, 0.0939116963904052, 0.0, 45.489999999999995, 266.8, 2061.192582363556, NaN, NaN, 28.0, 28.1, NaN, 1.58, 30.0, 0.0, NaN, NaN
0.0, 845.3, 748.4, 836.2, 6.900000000000091, 6.0, 0.5, 3.011324554143922, 30.29, 20.667, 132.3, 123.3, 4.917434584496081, 176.9, 1.0309812493854424, 20.829999999999984, 172.94, 152.59, 166.95, 173.42, 43.51999999999998, 1023.98, 1052.52, 1009.0, 1049.8, 2.29, 62.35, 133.01, 1182.5, 21.49, 24.0, 0.0, 3704.0, NaN, 180.0, 85.0, NaN, 0.0, 0.01, 0.009871994338459708, 3.2, -0.02, 9.8, 2.19, 0.35, 0.20075497027626146, 0.0, 45.489999999999995, 266.8, 2061.192582363556, NaN, NaN, 28.1, 28.1, NaN, 0.06, -30.0, 0.0, NaN, NaN
0.0, 844.3, 748.2, 836.0, 6.600000000000023, 5.9, 0.5, 3.031324554143922, 30.29, 20.667, 132.3, 123.3, 4.917434584496081, 176.9, 1.0309812493854424, 20.930000000000007, 173.64, 153.07, 167.51, 174.0, 38.0, 1036.15, 1055.57, 1022.25, 1060.25, 2.31, 62.72, 132.95, 1213.8, 21.49, 24.0, 0.0, 3704.0, NaN, 180.0, 85.0, NaN, 0.0, 0.01, 0.009937560132919656, 3.2, 0.01, 9.8, 2.21, 0.35, 0.2020883036095948, 0.0, 45.489999999999995, 266.8, 2061.192582363556, NaN, NaN, 28.1, 28.1, NaN, -2.48, -30.0, 0.0, NaN, NaN
0.0, 844.3, 748.3, 836.2, 6.400000000000091, 5.9, 0.5, 1.3786754458560782, 30.29, 20.667, 132.3, 123.3, 5.6199145398590495, 176.9, 1.0309812493854424, 21.00999999999999, 174.29, 153.56, 168.06, 174.57, 34.63000000000011, 1048.36, 1059.59, 1037.04, 1071.67, 2.29, 62.67, 132.91, 1222.2, 21.54, 24.0, 0.0, 3704.0, NaN, 180.0, 85.0, NaN, 0.0, 0.01, 0.005165358789275487, 3.2, -0.04, 9.8, 2.2, 0.4, 0.09191169639040521, 0.0, 45.54, 266.8, 2061.192582363556, NaN, NaN, 28.1, 28.1, NaN, 1.59, 30.0, 0.0, NaN, NaN
0.0, 845.3, 748.1, 835.9, 5.899999999999977, 5.9, 0.4, 1.388675445856078, 30.29, 20.667, 132.3, 123.3, 5.6199145398590495, 176.9, 1.0309812493854424, 21.100000000000023, 174.94, 154.01, 168.55, 175.11, 30.860000000000127, 1058.81, 1064.51, 1050.77, 1081.63, 2.3, 62.72, 132.87, 1223.0, 21.54, 24.0, 0.0, 3704.0, NaN, 180.0, 85.0, NaN, 0.0, -0.01, 0.00520282488620788, 3.2, -0.03, 9.8, 2.21, 0.4, 0.09257836305707184, 0.0, 45.54, 266.8, 2061.192582363556, NaN, NaN, 28.1, 28.1, NaN, 11.2, 30.0, 0.0, NaN, NaN
0.0, 845.3, 751.5, 839.3, 5.7999999999999545, 5.8, 0.5, 3.021324554143922, 30.29, 20.667, 132.3, 123.3, 5.057930892274955, 176.9, 1.0309812493854424, 21.169999999999987, 175.57, 154.47, 169.06, 175.64, 26.819999999999936, 1069.73, 1068.65, 1063.94, 1090.76, 2.2, 62.64, 132.83, 1222.9, 21.54, 24.0, 0.0, 3704.0, NaN, 180.0, 88.5, NaN, 0.0, -0.02, 0.010187767198662266, 3.2, -0.01, 9.8, 2.2, 0.36, 0.20142163694292814, 0.0, 45.54, 266.8, 2061.192582363556, NaN, NaN, 28.1, 28.1, NaN, 2.76, -30.0, 0.0, NaN, NaN
0.0, 844.3, 751.6, 839.4, 6.199999999999932, 5.7, 0.4, 3.071324554143922, 30.29, 20.667, 132.3, 123.3, 5.057930892274955, 176.9, 1.0309812493854424, 21.299999999999983, 176.21, 154.93, 169.58, 176.23, 27.929999999999836, 1080.17, 1072.64, 1077.0, 1100.57, 2.19, 62.64, 132.8, 1219.3, 21.54, 24.0, 0.0, 3704.0, NaN, 180.0, 88.5, NaN, 0.0, -0.01, 0.01035636489507143, 3.2, 0.02, 9.8, 2.25, 0.36, 0.20475497027626147, 0.0, 45.54, 266.8, 2061.192582363556, NaN, NaN, 28.1, 28.1, NaN, -2.76, -30.0, 0.0, NaN, NaN
0.0, 844.3, 751.9, 839.7, 6.600000000000023, 5.7, 0.4, 1.388675445856078, 30.29, 20.667, 132.3, 123.3, 3.4184930394991473, 176.9, 1.0309812493854424, 21.53, 177.04, 155.51, 170.2, 176.86, 32.02999999999997, 1090.91, 1077.48, 1091.05, 1109.51, 2.22, 62.57, 132.76, 1219.6, 21.49, 24.0, 0.0, 3704.0, NaN, 180.1, 88.5, NaN, 0.0, -0.01, 0.0031647848971882507, 3.2, 0.01, 9.8, 2.21, 0.35, 0.09257836305707184, 0.0, 45.489999999999995, 266.8, 2061.192582363556, NaN, NaN, 28.1, 28.1, NaN, -9.79, 30.0, 0.0, NaN, NaN
0.0, 845.3, 751.2, 839.0, 6.2999999999999545, 5.7, 0.4, 1.408675445856078, 30.29, 20.667, 132.3, 123.3, 5.198427045980446, 176.9, 1.0309812493854424, 21.670000000000016, 177.71, 156.04, 170.77, 177.5, 35.24000000000001, 1098.91, 1081.41, 1099.93, 1116.65, 2.2, 62.64, 132.72, 1219.1, 21.49, 24.0, 0.0, 3704.0, NaN, 180.1, 88.5, NaN, 0.0, 0.0, 0.0048819310244978655, 3.2, 0.03, 9.8, 2.23, 0.37, 0.0939116963904052, 0.0, 45.489999999999995, 266.8, 2061.192582363556, NaN, NaN, 28.1, 28.1, NaN, 1.32, 30.0, 0.0, NaN, NaN
