#AltAGL, AltB, AltGPS, AltMSL, AltMSL Lag Diff, amp1, AOASimple, BaroA, COM1, COM2, CRS, DensityRatio, E1 EGT Divergence, E1 EGT1, E1 EGT2, E1 EGT3, E1 EGT4, E1 FFlow, E1 OilP, E1 OilT, E1 RPM, FQtyL, FQtyR, GndSpd, HAL, HCDI, HDG, HPLfd, HPLwas, IAS, LatAc, MagVar, NormAc, OAT, Pitch, Roll, Stall Index, TAS, Total Fuel, TRK, True Airspeed(ft/min), volt1, VPLwas, VSpd, VSpd Calculated, VSpdG, WndDr, WndSpd, number_events = 0
AltAGL, AltB, AltGPS, AltMSL, AltMSL Lag Diff, amp1, AOASimple, BaroA, COM1, COM2, CRS, DensityRatio, E1 EGT Divergence, E1 EGT1, E1 EGT2, E1 EGT3, E1 EGT4, E1 FFlow, E1 OilP, E1 OilT, E1 RPM, FQtyL, FQtyR, GndSpd, HAL, HCDI, HDG, HPLfd, HPLwas, IAS, LatAc, MagVar, NormAc, OAT, Pitch, Roll, Stall Index, TAS, Total Fuel, TRK, True Airspeed(ft/min), volt1, VPLwas, VSpd, VSpd Calculated, VSpdG, WndDr, WndSpd
0.0, 857.2, 740.5, 828.4, NaN, 7.4, NaN, 30.02, 120.55, 123.3, 27.0, 0.9964226442928267, 48.70999999999981, 1085.07, 1071.38, 1120.09, 1104.0, 2.81, 64.31, 142.27, 1183.8, 18.59, 24.0, 0.0, 3704.0, NaN, 175.8, 98.5, NaN, 0.0, 0.01, 3.2, -0.01, 17.0, 2.21, -0.89, NaN, 0.0, 42.59, 265.0, 0.0, 28.1, NaN, -6.7, 0.0, 0.0, NaN, NaN
0.0, 857.2, 739.5, 827.3, NaN, 7.4, NaN, 30.02, 120.55, 123.3, 27.0, 0.9964226442928267, 60.8599999999999, 1085.19, 1057.76, 1118.62, 1108.86, 2.81, 64.27, 142.13, 1166.2, 18.56, 24.0, 0.0, 3704.0, NaN, 175.7, 95.5, NaN, 0.0, 0.02, 3.2, -0.02, 17.0, 2.19, -0.9, NaN, 0.0, 42.56, 265.0, 0.0, 28.1, NaN, -15.11, 0.0, 0.0, NaN, NaN
0.0, 857.2, 739.3, 827.1, -1.0, 7.3, NaN, 30.02, 120.55, 123.3, 27.0, 0.9964226442928267, 82.27999999999997, 1086.05, 1052.47, 1134.75, 1103.26, 2.79, 64.04, 142.06, 1157.2, 18.54, 24.0, 0.0, 3704.0, NaN, 175.7, 95.0, NaN, 0.0, 0.02, 3.2, 0.0, 17.0, 2.22, -0.89, NaN, 0.0, 42.54, 265.0, 0.0, 28.1, NaN, -15.97, 0.0, 3.9, NaN, NaN
0.0, 857.2, 739.2, 827.0, -0.8999999999999773, 7.3, NaN, 30.02, 120.55, 123.3, 27.0, 0.9964226442928267, 66.05999999999995, 1086.25, 1051.63, 1117.69, 1104.7, 2.81, 64.1, 142.08, 1165.3, 18.56, 24.0, 0.0, 3704.0, NaN, 175.7, 95.0, NaN, 0.0, 0.02, 3.2, 0.01, 17.0, 2.21, -0.89, NaN, 0.0, 42.56, 265.0, 0.0, 28.1, NaN, -16.0, 0.0, 0.0, NaN, NaN
0.0, 857.2, 738.6, 826.4, -1.2000000000000455, 7.2, NaN, 30.02, 120.55, 123.3, 27.0, 0.9964226442928267, 65.35000000000014, 1091.02, 1057.37, 1122.72, 1106.7, 2.81, 64.34, 142.0, 1183.4, 18.59, 24.0, 0.0, 3704.0, NaN, 175.7, 95.0, NaN, 0.0, -0.01, 3.2, -0.01, 17.0, 2.2, -0.9, NaN, 0.0, 42.59, 265.0, 0.0, 28.1, NaN, -12.02, 0.0, 3.9, NaN, NaN
0.0, 857.2, 738.5, 826.3, -1.2000000000000455, 7.2, NaN, 30.02, 120.55, 123.3, 27.0, 0.9964226442928267, 70.94000000000005, 1087.42, 1060.12, 1131.06, 1101.04, 2.82, 64.16, 141.89, 1165.5, 18.56, 24.0, 0.0, 3704.0, NaN, 175.7, 95.0, NaN, 0.0, 0.03, 3.2, 0.02, 17.0, 2.21, -0.9, NaN, 0.0, 42.56, 265.0, 0.0, 28.1, NaN, -6.01, 0.0, 0.0, NaN, NaN
0.0, 857.2, 738.1, 825.9, -1.3000000000000682, 7.1, NaN, 30.02, 120.55, 123.3, 27.0, 0.9964226442928267, 92.09000000000015, 1076.37, 1064.79, 1156.88, 1102.86, 2.84, 64.33, 141.85, 1181.0, 18.57, 24.0, 0.0, 3704.0, NaN, 175.7, 95.0, NaN, 0.0, 0.0, 3.2, 0.01, 17.0, 2.2, -0.9, NaN, 0.0, 42.57, 265.0, 0.0, 28.1, NaN, -15.45, 0.0, 3.9, NaN, NaN
0.0, 857.2, 733.1, 820.9, -8.700000000000045, 7.0, NaN, 30.02, 120.55, 123.3, 27.0, 0.9964226442928267, 84.63000000000011, 1076.51, 1072.31, 1156.94, 1107.21, 2.83, 64.32, 141.7, 1170.1, 18.6, 24.0, 0.0, 3704.0, NaN, 175.7, 105.5, NaN, 0.0, -0.0, 3.2, -0.0, 17.0, 2.15, -0.9, NaN, 0.0, 42.6, 265.0, 0.0, 28.1, NaN, -15.98, 0.0, 3.9, NaN, NaN
0.0, 857.2, 732.9, 820.7, -7.699999999999932, 7.0, NaN, 30.02, 120.55, 123.3, 27.0, 0.9964226442928267, 84.46000000000004, 1087.78, 1070.55, 1155.01, 1110.22, 2.85, 64.28, 141.7, 1174.4, 18.58, 24.0, 0.0, 3704.0, NaN, 175.7, 105.5, NaN, 0.0, 0.02, 3.2, -0.0, 17.0, 2.18, -0.89, NaN, 0.0, 42.58, 265.0, 0.0, 28.1, NaN, -16.0, 0.0, 0.0, NaN, NaN
0.0, 857.2, 732.4, 820.3, -8.300000000000068, 7.0, NaN, 30.02, 120.55, 123.3, 27.0, 0.9964226442928267, 93.63999999999987, 1098.25, 1070.66, 1164.3, 1116.25, 2.78, 64.33, 141.52, 1175.7, 18.55, 24.0, 0.0, 3704.0, NaN, 175.7, 105.5, NaN, 0.0, 0.01, 3.2, -0.01, 17.0, 2.19, -0.89, NaN, 0.0, 42.55, 265.0, 0.0, 28.1, NaN, -16.0, 0.0, 0.0, NaN, NaN
0.0, 857.2, 732.6, 820.4, -8.0, 7.0, NaN, 30.02, 120.55, 123.3, 27.0, 0.9964226442928267, 94.64999999999986, 1098.81, 1073.21, 1167.86, 1123.78, 2.75, 64.38, 141.51, 1179.1, 18.56, 24.0, 0.0, 3704.0, NaN, 175.7, 105.5, NaN, 0.0, 0.03, 3.2, -0.01, 17.0, 2.22, -0.9, NaN, 0.0, 42.56, 265.0, 0.0, 28.1, NaN, -16.0, 0.0, 0.0, NaN, NaN
