#AltAGL, AltB, AltGPS, AltMSL, AltMSL Lag Diff, amp1, amp2, AOASimple, BaroA, CAS, COM1, COM2, Coordination Index, CRS, DensityRatio, E1 CHT Divergence, E1 CHT1, E1 CHT2, E1 CHT3, E1 CHT4, E1 EGT Divergence, E1 EGT1, E1 EGT2, E1 EGT3, E1 EGT4, E1 FFlow, E1 OilP, E1 OilT, E1 RPM, FQtyL, FQtyR, GndSpd, HAL, HDG, HPLfd, HPLwas, IAS, LatAc, LOC-I Index, MagVar, NormAc, OAT, Pitch, Roll, Stall Index, TAS, Total Fuel, TRK, True Airspeed(ft/min), volt1, volt2, VPLwas, VSpd, VSpd Calculated, VSpdG, WndDr, WndSpd, number_events = 8
AltAGL, AltB, AltGPS, AltMSL, AltMSL Lag Diff, amp1, amp2, AOASimple, BaroA, CAS, COM1, COM2, Coordination Index, CRS, DensityRatio, E1 CHT Divergence, E1 CHT1, E1 CHT2, E1 CHT3, E1 CHT4, E1 EGT Divergence, E1 EGT1, E1 EGT2, E1 EGT3, E1 EGT4, E1 FFlow, E1 OilP, E1 OilT, E1 RPM, FQtyL, FQtyR, GndSpd, HAL, HDG, HPLfd, HPLwas, IAS, LatAc, LOC-I Index, MagVar, NormAc, OAT, Pitch, Roll, Stall Index, TAS, Total Fuel, TRK, True Airspeed(ft/min), volt1, volt2, VPLwas, VSpd, VSpd Calculated, VSpdG, WndDr, WndSpd
0.0, 1432.6, 1237.5, 1334.3, 0.0, 10.7, 1.4, NaN, 29.95, 20.667, 120.6, 123.5, 9.413218785623076, 221.5, 0.9263777958016579, 9.090000000000003, 139.95, 132.25, 141.34, 135.05, 30.37000000000012, 1088.46, 1062.07, 1088.9, 1058.53, 2.78, 63.84, 122.46, 1233.3, 16.7, 18.35, 0.0, 3704.0, 125.6, 15.5, 12.0, 0.0, -0.01, NaN, 10.2, -0.01, 38.2, 2.01, 0.67, NaN, 0.0, 35.05, 260.1, 2174.4523030647842, 27.9, 27.8, 24.0, 30.53, NaN, 0.0, NaN, NaN
0.0, 1431.6, 1238.7, 1335.6, 0.0, 10.6, 1.4, 2.05, 29.95, 20.667, 120.6, 123.5, 8.85125894219067, 221.5, 0.9263777958016579, 9.189999999999998, 140.75, 132.93, 142.12, 135.77, 30.1099999999999, 1092.26, 1065.0, 1092.12, 1062.15, 2.78, 63.9, 122.45, 1236.7, 16.7, 18.35, 0.0, 3704.0, 125.6, 15.5, 12.0, 0.0, -0.01, 0.012096720554327249, 10.2, 0.0, 38.2, 2.05, 0.63, 0.13666666666666666, 0.0, 35.05, 260.1, 2174.4523030647842, 27.9, 27.8, 24.0, 5.97, 0.0, 0.0, NaN, NaN
0.0, 1432.6, 1238.6, 1335.5, 0.0, 10.5, 1.4, 1.2586754458560783, 29.95, 20.667, 120.6, 123.5, 8.71076829657171, 221.5, 0.9263777958016579, 9.319999999999993, 141.54, 133.59, 142.91, 136.37, 30.45999999999981, 1096.37, 1066.35, 1093.8, 1065.91, 2.78, 63.86, 122.43, 1238.2, 16.78, 18.35, 0.0, 3704.0, 125.6, 15.5, 12.0, 0.0, -0.01, 0.0073093534462909246, 10.2, 0.01, 38.2, 2.08, 0.62, 0.08391169639040522, 0.0, 35.13, 260.1, 2174.4523030647842, 27.9, 27.8, 24.0, 8.91, 30.0, 0.0, NaN, NaN
0.0, 1432.6, 1238.4, 1335.2, 0.0, 10.5, 1.4, 1.99, 29.95, 20.667, 120.6, 123.5, 9.413218785623076, 221.5, 0.9269735371494402, 9.429999999999978, 142.36, 134.27, 143.7, 137.13, 32.710000000000036, 1100.83, 1068.12, 1096.98, 1069.68, 2.79, 63.83, 122.42, 1236.1, 16.78, 18.35, 0.0, 3704.0, 125.6, 15.0, 12.0, 0.0, -0.0, 0.012488203588926614, 10.2, -0.02, 38.0, 1.99, 0.67, 0.13266666666666665, 0.0, 35.13, 260.1, 2173.7534593047894, 27.9, 27.8, 24.0, 7.61, 0.0, 0.0, NaN, NaN
0.0, 1432.6, 1238.4, 1335.3, 0.0, 10.4, 1.4, 1.99, 29.95, 20.667, 120.6, 123.5, 9.413218785623076, 221.5, 0.9269735371494402, 9.490000000000009, 143.16, 135.0, 144.49, 137.87, 33.52999999999997, 1104.07, 1070.54, 1099.85, 1071.18, 2.75, 63.87, 122.41, 1235.2, 16.78, 18.35, 0.0, 3704.0, 125.6, 15.0, 12.0, 0.0, -0.01, 0.012488203588926614, 10.2, -0.01, 38.0, 1.99, 0.67, 0.13266666666666665, 0.0, 35.13, 260.1, 2173.7534593047894, 27.9, 27.9, 24.0, 0.35, 0.0, 0.0, NaN, NaN
0.0, 1432.6, 1238.5, 1335.3, 0.0, 10.4, 1.4, 2.811324554143922, 29.95, 20.667, 120.6, 123.5, 9.272729244180635, 221.5, 0.9269735371494402, 9.599999999999994, 144.04, 135.77, 145.37, 138.66, 33.75999999999999, 1106.47, 1073.4, 1102.0, 1072.71, 2.77, 63.79, 122.4, 1236.0, 16.76, 18.35, 0.0, 3704.0, 125.6, 15.5, 12.0, 0.0, -0.02, 0.017379100938728954, 10.2, 0.02, 38.0, 1.99, 0.66, 0.18742163694292813, 0.0, 35.11, 260.1, 2173.7534593047894, 27.9, 27.9, 24.0, 0.01, -30.0, 0.0, NaN, NaN
0.0, 1431.6, 1238.6, 1335.5, 0.0, 10.3, 1.4, 1.97, 29.95, 20.667, 120.6, 123.5, 9.272729244180635, 221.5, 0.9269735371494402, 9.719999999999999, 144.93, 136.51, 146.23, 139.35, 34.51999999999998, 1108.66, 1075.96, 1104.39, 1074.14, 2.77, 63.77, 122.39, 1233.5, 16.7, 18.35, 0.0, 3704.0, 125.6, 15.5, 12.0, 0.0, -0.01, 0.012178184407357233, 10.2, -0.02, 38.0, 1.97, 0.66, 0.13133333333333333, 0.0, 35.05, 260.1, 2173.7534593047894, 27.9, 27.8, 24.0, -14.14, 0.0, 0.0, NaN, NaN
0.0, 1432.6, 1237.1, 1334.0, 0.0, 10.2, 1.4, -0.43464930397855683, 29.95, 20.667, 120.6, 123.5, 9.132239420274708, 221.5, 0.9269735371494402, 9.800000000000011, 145.76, 137.25, 147.05, 140.17, 36.34999999999991, 1111.0, 1078.17, 1105.1, 1074.65, 2.77, 63.78, 122.37, 1231.9, 16.7, 18.38, 0.0, 3704.0, 125.6, 15.5, 12.0, 0.0, -0.01, 0.0026462143385252938, 10.2, 0.01, 38.0, 2.03, 0.65, 0.028976620265237122, 0.0, 35.08, 260.1, 2173.7534593047894, 27.9, 27.9, 24.0, -2.22, 90.0, 0.0, NaN, NaN
0.0, 1434.6, 1236.8, 1333.7, 0.0, 10.2, 1.4, 1.2486754458560783, 29.95, 20.667, 120.6, 123.5, 8.991749318184862, 221.5, 0.9269735371494402, 9.919999999999987, 146.57, 137.96, 147.88, 140.81, 37.42000000000007, 1112.45, 1080.8, 1106.24, 1075.03, 2.82, 63.61, 122.36, 1223.3, 16.7, 18.38, 0.0, 3704.0, 125.6, 15.5, 12.0, 0.0, -0.02, 0.007485184392607047, 10.2, 0.01, 38.0, 2.07, 0.64, 0.08324502972373855, 0.0, 35.08, 260.1, 2173.7534593047894, 27.9, 27.9, 24.0, 39.47, 30.0, 0.0, NaN, NaN
0.0, 1433.6, 1237.1, 1333.9, 0.0, 10.1, 1.4, 2.8713245541439214, 29.95, 20.667, 120.6, 123.5, 8.71076829657171, 221.5, 0.9269735371494402, 10.01000000000002, 147.42, 138.7, 148.71, 141.58, 37.710000000000036, 1113.26, 1084.0, 1107.67, 1075.55, 2.77, 63.58, 122.35, 1223.3, 16.65, 18.38, 0.0, 3704.0, 125.6, 15.0, 12.0, 0.0, -0.02, 0.016674295263603183, 10.2, 0.02, 38.0, 2.05, 0.62, 0.19142163694292813, 0.0, 35.03, 260.1, 2173.7534593047894, 27.9, 27.9, 23.0, 24.93, -30.0, 0.0, NaN, NaN
0.0, 1433.6, 1236.9, 1333.8, -0.5, 10.0, 1.4, 2.8513245541439214, 29.95, 20.667, 120.6, 123.5, 8.991749318184862, 221.5, 0.9269735371494402, 10.130000000000024, 148.24, 139.42, 149.55, 142.43, 36.350000000000136, 1112.96, 1085.56, 1108.72, 1076.61, 2.77, 63.45, 122.34, 1220.7, 16.65, 18.38, 0.0, 3704.0, 125.6, 15.0, 12.0, 0.0, -0.01, 0.017092263743764907, 10.2, -0.0, 38.0, 2.03, 0.64, 0.19008830360959475, 0.0, 35.03, 260.1, 2173.7534593047894, 27.9, 27.9, 24.0, 1.97, -30.0, 0.0, NaN, NaN
0.0, 1432.6, 1236.7, 1333.6, -2.0, 9.9, 1.4, 3.672817940523325, 29.95, 20.667, 120.6, 123.5, 8.991749318184862, 221.5, 0.9269735371494402, 10.199999999999989, 149.11, 140.15, 150.35, 143.08, 33.5300000000002, 1111.38, 1086.62, 1110.11, 1077.85, 2.74, 63.56, 122.33, 1219.5, 16.62, 18.38, 0.0, 3704.0, 125.6, 15.5, 12.0, 0.0, -0.01, 0.02201670547501183, 10.2, -0.01, 38.0, 2.03, 0.64, 0.24485452936822172, 0.0, 35.0, 260.1, 2173.7534593047894, 27.9, 27.9, 24.0, -13.82, -60.0, 0.0, NaN, NaN
0.0, 1431.6, 1236.7, 1333.5, -2.0, 9.8, 1.4, 0.36718205947667437, 29.95, 20.667, 120.6, 123.5, 9.132239420274708, 221.5, 0.9269735371494402, 10.300000000000011, 149.95, 140.92, 151.22, 143.87, 33.37000000000012, 1111.49, 1087.9, 1111.02, 1078.12, 2.79, 63.54, 122.31, 1216.3, 16.6, 18.38, 0.0, 3704.0, 125.6, 15.5, 12.0, 0.0, 0.0, 0.002235462985313692, 10.2, 0.0, 38.0, 2.01, 0.65, 0.024478803965111626, 0.0, 34.980000000000004, 260.1, 2173.7534593047894, 27.9, 27.9, 24.0, -35.74, 60.0, 0.0, NaN, NaN
0.0, 1434.6, 1238.0, 1334.8, -0.40000000000009095, 9.7, 1.4, -2.100005993026011, 29.95, 20.667, 120.6, 123.5, 8.71076829657171, 221.5, 0.9269735371494402, 10.379999999999995, 150.81, 141.65, 152.03, 144.71, 33.02999999999997, 1112.04, 1089.17, 1111.53, 1079.01, 2.75, 63.53, 122.3, 1216.9, 16.6, 18.38, 0.0, 3704.0, 125.6, 15.5, 12.0, 0.0, -0.0, 0.012195110417774378, 10.2, -0.01, 38.0, 2.01, 0.62, 0.1400003995350674, 0.0, 34.980000000000004, 260.1, 2173.7534593047894, 27.9, 27.9, 24.0, 10.66, 150.0, 0.0, NaN, NaN
